DATACODE,RECTYPE,Location,Trans,Plot,Geology,Recyear,WLDate,Elevation,SWDate,Na1,Na2,K1,K2,Li,NH4_N,Ca1,Ca2,Mg1,Mg2,Sr,Ba,SO4,F,Cl,NO3_N,HPO4_P,Alkalinity,pH1,DDB,pH2,Temp,Si1,Si2,B,Conduct
AGW01,1,1-1AL,1,1,AL,1990,1990-05-01,364.47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-1Mor,2,1,Mor,1990,1990-05-01,365.44,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1990,1990-05-01,365.28,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1990,1990-05-01,365.18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1990,1990-05-01,365.26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1990,1990-05-01,371.87,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1990,1990-05-01,365.31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1990,1990-05-01,366.95,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis1,4,2,Eis 1,1990,1990-05-01,370.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis2,4,2,Eis 2,1990,1990-05-01,372.35,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Mor,4,2,Mor,1990,1990-05-01,364.83,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-4Stearns,4,4,Stearns,1990,1990-05-01,370.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-5Stearns,4,5,Stearns,1990,1990-05-01,370.44,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis1,4,6,Eis 1,1990,1990-05-01,370.11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis2,4,6,Eis 2,1990,1990-05-01,371.72,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Mor,4,6,Mor,1990,1990-05-01,364.94,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-1Mor,2,1,Mor,1990,1990-07-01,365.29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1990,1990-07-01,365.22,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1990,1990-07-01,364.79,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1990,1990-07-01,367.34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1990,1990-07-01,371.61,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1990,1990-07-01,366.75,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1990,1990-07-01,366.64,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis1,4,2,Eis 1,1990,1990-07-01,370.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis2,4,2,Eis 2,1990,1990-07-01,371.68,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Mor,4,2,Mor,1990,1990-07-01,365.01,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-4Stearns,4,4,Stearns,1990,1990-07-01,370.29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-5Stearns,4,5,Stearns,1990,1990-07-01,370.34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis1,4,6,Eis 1,1990,1990-07-01,369.74,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis2,4,6,Eis 2,1990,1990-07-01,371.15,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Mor,4,6,Mor,1990,1990-07-01,364.55,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1990,1990-08-01,364.84,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1990,1990-08-01,364.49,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1990,1990-08-01,364.66,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1990,1990-08-01,371.68,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1990,1990-08-01,364.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1990,1990-08-01,366.72,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis1,4,2,Eis 1,1990,1990-08-01,370.38,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis2,4,2,Eis 2,1990,1990-08-01,371.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Mor,4,2,Mor,1990,1990-08-01,363.84,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-4Stearns,4,4,Stearns,1990,1990-08-01,369.53,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-5Stearns,4,5,Stearns,1990,1990-08-01,370.32,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis1,4,6,Eis 1,1990,1990-08-01,369.77,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Eis2,4,6,Eis 2,1990,1990-08-01,371.27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,4-6Mor,4,6,Mor,1990,1990-08-01,364.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,1-3Eis,1,3,Eis,1991,1991-12-28,369.99,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,1-6Mor,1,6,Mor,1991,1991-12-28,364.88,1/2/1992,3.4,na,1.27,na,na,na,91.5,na,16.7,na,na,na,15.1,na,1.2,0.169,bdl,356,7.52,na,na,na,na,na,na,na
AGW01,1,2-3Eis,2,3,Eis,1991,1991-12-28,370.48,1/2/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1991,1991-12-28,365.21,1/2/1992,5.21,na,1.52,na,na,na,50.9,na,16,na,na,na,25.1,na,2.5,0.105,bdl,224,7.72,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1991,1991-12-28,364.73,1/2/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1991,1991-12-28,364.74,1/2/1992,7.12,na,0.76,na,na,na,88.7,na,16.7,na,na,na,23.9,na,1,0.182,bdl,352,7.45,na,na,na,na,na,na,na
AGW01,1,3-2Eis,3,2,Eis,1991,1991-12-28,370.09,1/2/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-2Mor,3,2,Mor,1991,1991-12-28,364.93,1/2/1992,4.06,na,1.12,na,na,na,84.8,na,14.2,na,na,na,31.3,na,1.5,0.254,bdl,311,7.55,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1991,1991-12-28,371.7,1/2/1992,4.34,na,1.17,na,na,na,75.3,na,10.7,na,na,na,13,na,0.8,0.18,bdl,304,7.53,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1991,1991-12-28,364.78,1/2/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1991,1991-12-28,366.62,1/2/1992,8.59,na,2.46,na,na,na,95.9,na,18.1,na,na,na,52.7,na,2.3,0.109,bdl,349,8.21,na,na,na,na,na,na,na
AGW01,1,3-5Mor,3,5,Mor,1991,1991-12-28,365.56,1/2/1992,5.31,na,0.71,na,na,na,89.6,na,18.9,na,na,na,59.9,na,2.1,bdl,bdl,322,7.72,na,na,na,na,na,na,na
AGW01,1,3-6Eis,3,6,Eis,1991,1991-12-28,369.64,1/2/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
